essay_id_comp,Last Name,Assignment,Class,Overall:Score,Writing & Review:R1,Writing & Review:R2,Writing & Review:R3,Writing & Review:R4,Writing & Review:R5,Writing & Review:R6,Writing & Review:Words
041C8CA04C08,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,2.01/3,0.99/3,2.01/3,377
0D89C8189022,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,207
0F7D49900D1C,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,200
114608C6747D,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,446
166D0B2124DA,Student,facial action coding,Facial action coding,3.96/18,0.99/3,0.99/3,0.00/3,0.00/3,0.99/3,0.99/3,221
1C51F32A0689,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,662
1D8018A28D04,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,248
1E9EBB2F62A0,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,159
1FC7106860A2,Student,facial action coding,Facial action coding,11.04/18,2.01/3,2.01/3,2.01/3,2.01/3,0.99/3,2.01/3,481
2010E484FDBB,Student,facial action coding,Facial action coding,6.96/18,0.99/3,0.99/3,2.01/3,0.99/3,0.99/3,0.99/3,332
20E320AA966E,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,375
215827A144F8,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,190
234703963FB1,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,164
23C916766386,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,2.01/3,0.99/3,2.01/3,414
2410D609BA60,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,325
2450993EB016,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,173
2B5560516314,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,277
2C4BB3ACA451,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,175
3236876CE120,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,235
3F224B1AF963,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,0.99/3,2.01/3,2.01/3,595
407CDC6692CA,Student,facial action coding,Facial action coding,7.98/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,2.01/3,172
40E7A7FDF48D,Student,facial action coding,Facial action coding,2.97/18,0.99/3,0.99/3,0.00/3,0.00/3,0.00/3,0.99/3,173
440E6F5DC224,Student,facial action coding,Facial action coding,4.95/18,0.99/3,0.99/3,0.00/3,0.99/3,0.99/3,0.99/3,214
44D379F60DD2,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,302
455D0FE2839E,Student,facial action coding,Facial action coding,0.99/18,0.99/3,0.00/3,0.00/3,0.00/3,0.00/3,0.00/3,183
466692F9C4B9,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,469
46EB864A3362,Student,facial action coding,Facial action coding,10.02/18,2.01/3,0.99/3,0.99/3,2.01/3,2.01/3,2.01/3,417
49E85AF686E1,Student,facial action coding,Facial action coding,6.96/18,0.99/3,0.99/3,2.01/3,0.99/3,0.99/3,0.99/3,442
4DB817B0DE25,Student,facial action coding,Facial action coding,7.98/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,2.01/3,376
4E1CF079ECDD,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,186
55792E29E3A0,Student,facial action coding,Facial action coding,4.95/18,0.99/3,0.99/3,0.00/3,0.99/3,0.99/3,0.99/3,234
558BB83BB400,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,514
56ECA100D97A,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,167
585B6471A19D,Student,facial action coding,Facial action coding,13.05/18,2.01/3,3.00/3,2.01/3,2.01/3,2.01/3,2.01/3,674
59D72A2EE874,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,183
5C2B6A9275A3,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,0.99/3,2.01/3,2.01/3,299
5C2EF956CE1C,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,293
5EB1944E4C52,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,442
5F3AC4729B09,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,392
6147A3CB1D9B,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,196
62CA2951FB9B,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,396
64EED50CD664,Student,facial action coding,Facial action coding,10.02/18,2.01/3,2.01/3,2.01/3,0.99/3,0.99/3,2.01/3,775
680F4627E125,Student,facial action coding,Facial action coding,7.98/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,2.01/3,367
6CCD1AE680E2,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,175
6CF5078A14F4,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,183
6D1AF3566A12,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,0.99/3,2.01/3,2.01/3,557
6D6215C23989,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,235
6E381D4CCEDA,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,352
789487D9748D,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,426
7EE7318E1EF2,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,0.99/3,2.01/3,2.01/3,395
89BA72AAF3E4,Student,facial action coding,Facial action coding,7.98/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,2.01/3,274
8A59AC8E36FD,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,467
8BDD04F754BF,Student,facial action coding,Facial action coding,9.00/18,0.99/3,2.01/3,2.01/3,2.01/3,0.99/3,0.99/3,236
8DFB375E3159,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,355
8E2174964041,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,211
93203D30E46D,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,377
93C1BA7B565E,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,464
946C874A9CCD,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,2.01/3,0.99/3,2.01/3,751
951F417BA64F,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,252
95D641A74BF1,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,366
989E5AA1D1FD,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,303
9C0B44764ED8,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,207
9FAD898993FD,Student,facial action coding,Facial action coding,7.98/18,2.01/3,0.99/3,0.99/3,2.01/3,0.99/3,0.99/3,337
A1A778253D39,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,335
A544DDC6FC70,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,290
A7B27F6C11A9,Student,facial action coding,Facial action coding,10.02/18,2.01/3,0.99/3,0.99/3,2.01/3,2.01/3,2.01/3,636
AF744782945F,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,533
AFD2F21F9158,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,225
B07E96B9767C,Student,facial action coding,Facial action coding,10.02/18,2.01/3,2.01/3,2.01/3,0.99/3,0.99/3,2.01/3,752
B3F446BF0A11,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,336
B709F976724E,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,777
B859B86268ED,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,359
B8CC1DAB4D12,Student,facial action coding,Facial action coding,4.95/18,0.99/3,0.99/3,0.99/3,0.00/3,0.99/3,0.99/3,199
C21E1457C1D4,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,343
C44A702C460F,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,278
C5A37127657D,Student,facial action coding,Facial action coding,4.95/18,0.99/3,0.99/3,0.00/3,0.99/3,0.99/3,0.99/3,324
C9987E52A40C,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,188
CC02E6A858C4,Student,facial action coding,Facial action coding,10.02/18,2.01/3,0.99/3,0.99/3,2.01/3,2.01/3,2.01/3,206
CC6D67F4D925,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,380
CC74792CC418,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,363
D019BB590AB3,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,253
D1BB1EA6F163,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,159
D2887A8C6CE2,Student,facial action coding,Facial action coding,6.96/18,0.99/3,0.99/3,2.01/3,0.99/3,0.99/3,0.99/3,400
DA486689B3EF,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,436
DA61A6F47A15,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,461
DCCF6739067A,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,527
E1991EA669CA,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,197
E1A0A8C51458,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,0.99/3,2.01/3,2.01/3,346
E262AB2DDDF9,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,219
E3E4C29C6F23,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,0.99/3,2.01/3,2.01/3,546
E4F9AEC51ECF,Student,facial action coding,Facial action coding,7.98/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,2.01/3,329
EA2BAEFCE4F2,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,152
EB51FF23A9FE,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,486
EC9B3F68ECED,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,2.01/3,0.99/3,2.01/3,321
EFA46BC5A89A,Student,facial action coding,Facial action coding,7.98/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,2.01/3,278
F1AFDB5CEB25,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,198
F497369C41C2,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,614
F7396D2A25A0,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,2.01/3,0.99/3,2.01/3,294
FBC1CA161C5F,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,504
FCF3609BF4E8,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,226
FFD97A99CEBA,Student,facial action coding,Facial action coding,1.98/18,0.99/3,0.99/3,0.00/3,0.00/3,0.00/3,0.00/3,246
