essay_id_comp,Last Name,Assignment,Class,Overall,Choose Words Carefully,Connect Ending,Consider & Refute Counterclaims,Elaborate (Arg),End with an Idea,Hook the Reader,Organize for Flow and Logic,"State a Claim, Opinion, or Point of View",Support with Reasons & Evidence,Use Transitions,Use Voice/Style/Tone
041C8CA04C08,Student,facial action coding,Facial action coding,50%,67%,33%,33%,33%,33%,67%,67%,67%,33%,67%,67%
0D89C8189022,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
0F7D49900D1C,Student,facial action coding,Facial action coding,39%,33%,33%,33%,33%,33%,67%,33%,67%,33%,33%,33%
114608C6747D,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
166D0B2124DA,Student,facial action coding,Facial action coding,22%,33%,33%,0%,33%,33%,33%,0%,33%,33%,0%,33%
1C51F32A0689,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
1D8018A28D04,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
1E9EBB2F62A0,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
1FC7106860A2,Student,facial action coding,Facial action coding,61%,67%,33%,67%,67%,33%,67%,67%,67%,67%,67%,67%
2010E484FDBB,Student,facial action coding,Facial action coding,39%,33%,33%,67%,33%,33%,33%,33%,33%,33%,33%,33%
20E320AA966E,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
215827A144F8,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
234703963FB1,Student,facial action coding,Facial action coding,39%,33%,33%,33%,33%,33%,67%,33%,67%,33%,33%,33%
23C916766386,Student,facial action coding,Facial action coding,50%,67%,33%,33%,33%,33%,67%,67%,67%,33%,67%,67%
2410D609BA60,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
2450993EB016,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
2B5560516314,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
2C4BB3ACA451,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
3236876CE120,Student,facial action coding,Facial action coding,39%,33%,33%,33%,33%,33%,67%,33%,67%,33%,33%,33%
3F224B1AF963,Student,facial action coding,Facial action coding,50%,67%,67%,33%,33%,67%,67%,33%,67%,33%,33%,67%
407CDC6692CA,Student,facial action coding,Facial action coding,44%,67%,33%,33%,33%,33%,67%,33%,67%,33%,33%,67%
40E7A7FDF48D,Student,facial action coding,Facial action coding,17%,33%,0%,0%,33%,0%,33%,0%,33%,33%,0%,33%
440E6F5DC224,Student,facial action coding,Facial action coding,28%,33%,33%,0%,33%,33%,33%,33%,33%,33%,33%,33%
44D379F60DD2,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
455D0FE2839E,Student,facial action coding,Facial action coding,6%,0%,0%,0%,0%,0%,33%,0%,33%,0%,0%,0%
466692F9C4B9,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
46EB864A3362,Student,facial action coding,Facial action coding,56%,67%,67%,33%,33%,67%,67%,67%,67%,33%,67%,67%
49E85AF686E1,Student,facial action coding,Facial action coding,39%,33%,33%,67%,33%,33%,33%,33%,33%,33%,33%,33%
4DB817B0DE25,Student,facial action coding,Facial action coding,44%,67%,33%,33%,33%,33%,67%,33%,67%,33%,33%,67%
4E1CF079ECDD,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
55792E29E3A0,Student,facial action coding,Facial action coding,28%,33%,33%,0%,33%,33%,33%,33%,33%,33%,33%,33%
558BB83BB400,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
56ECA100D97A,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
585B6471A19D,Student,facial action coding,Facial action coding,73%,67%,67%,67%,100%,67%,67%,67%,67%,100%,67%,67%
59D72A2EE874,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
5C2B6A9275A3,Student,facial action coding,Facial action coding,50%,67%,67%,33%,33%,67%,67%,33%,67%,33%,33%,67%
5C2EF956CE1C,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
5EB1944E4C52,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
5F3AC4729B09,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
6147A3CB1D9B,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
62CA2951FB9B,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
64EED50CD664,Student,facial action coding,Facial action coding,56%,67%,33%,67%,67%,33%,67%,33%,67%,67%,33%,67%
680F4627E125,Student,facial action coding,Facial action coding,44%,67%,33%,33%,33%,33%,67%,33%,67%,33%,33%,67%
6CCD1AE680E2,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
6CF5078A14F4,Student,facial action coding,Facial action coding,39%,33%,33%,33%,33%,33%,67%,33%,67%,33%,33%,33%
6D1AF3566A12,Student,facial action coding,Facial action coding,50%,67%,67%,33%,33%,67%,67%,33%,67%,33%,33%,67%
6D6215C23989,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
6E381D4CCEDA,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
789487D9748D,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
7EE7318E1EF2,Student,facial action coding,Facial action coding,50%,67%,67%,33%,33%,67%,67%,33%,67%,33%,33%,67%
89BA72AAF3E4,Student,facial action coding,Facial action coding,44%,67%,33%,33%,33%,33%,67%,33%,67%,33%,33%,67%
8A59AC8E36FD,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
8BDD04F754BF,Student,facial action coding,Facial action coding,50%,33%,33%,67%,67%,33%,33%,67%,33%,67%,67%,33%
8DFB375E3159,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
8E2174964041,Student,facial action coding,Facial action coding,39%,33%,33%,33%,33%,33%,67%,33%,67%,33%,33%,33%
93203D30E46D,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
93C1BA7B565E,Student,facial action coding,Facial action coding,39%,33%,33%,33%,33%,33%,67%,33%,67%,33%,33%,33%
946C874A9CCD,Student,facial action coding,Facial action coding,50%,67%,33%,33%,33%,33%,67%,67%,67%,33%,67%,67%
951F417BA64F,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
95D641A74BF1,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
989E5AA1D1FD,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
9C0B44764ED8,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
9FAD898993FD,Student,facial action coding,Facial action coding,44%,33%,33%,33%,33%,33%,67%,67%,67%,33%,67%,33%
A1A778253D39,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
A544DDC6FC70,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
A7B27F6C11A9,Student,facial action coding,Facial action coding,56%,67%,67%,33%,33%,67%,67%,67%,67%,33%,67%,67%
AF744782945F,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
AFD2F21F9158,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
B07E96B9767C,Student,facial action coding,Facial action coding,56%,67%,33%,67%,67%,33%,67%,33%,67%,67%,33%,67%
B3F446BF0A11,Student,facial action coding,Facial action coding,39%,33%,33%,33%,33%,33%,67%,33%,67%,33%,33%,33%
B709F976724E,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
B859B86268ED,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
B8CC1DAB4D12,Student,facial action coding,Facial action coding,28%,33%,33%,33%,33%,33%,33%,0%,33%,33%,0%,33%
C21E1457C1D4,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
C44A702C460F,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
C5A37127657D,Student,facial action coding,Facial action coding,28%,33%,33%,0%,33%,33%,33%,33%,33%,33%,33%,33%
C9987E52A40C,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
CC02E6A858C4,Student,facial action coding,Facial action coding,56%,67%,67%,33%,33%,67%,67%,67%,67%,33%,67%,67%
CC6D67F4D925,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
CC74792CC418,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
D019BB590AB3,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
D1BB1EA6F163,Student,facial action coding,Facial action coding,39%,33%,33%,33%,33%,33%,67%,33%,67%,33%,33%,33%
D2887A8C6CE2,Student,facial action coding,Facial action coding,39%,33%,33%,67%,33%,33%,33%,33%,33%,33%,33%,33%
DA486689B3EF,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
DA61A6F47A15,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
DCCF6739067A,Student,facial action coding,Facial action coding,39%,33%,33%,33%,33%,33%,67%,33%,67%,33%,33%,33%
E1991EA669CA,Student,facial action coding,Facial action coding,39%,33%,33%,33%,33%,33%,67%,33%,67%,33%,33%,33%
E1A0A8C51458,Student,facial action coding,Facial action coding,50%,67%,67%,33%,33%,67%,67%,33%,67%,33%,33%,67%
E262AB2DDDF9,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
E3E4C29C6F23,Student,facial action coding,Facial action coding,50%,67%,67%,33%,33%,67%,67%,33%,67%,33%,33%,67%
E4F9AEC51ECF,Student,facial action coding,Facial action coding,44%,67%,33%,33%,33%,33%,67%,33%,67%,33%,33%,67%
EA2BAEFCE4F2,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
EB51FF23A9FE,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
EC9B3F68ECED,Student,facial action coding,Facial action coding,50%,67%,33%,33%,33%,33%,67%,67%,67%,33%,67%,67%
EFA46BC5A89A,Student,facial action coding,Facial action coding,44%,67%,33%,33%,33%,33%,67%,33%,67%,33%,33%,67%
F1AFDB5CEB25,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
F497369C41C2,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
F7396D2A25A0,Student,facial action coding,Facial action coding,50%,67%,33%,33%,33%,33%,67%,67%,67%,33%,67%,67%
FBC1CA161C5F,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
FCF3609BF4E8,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
FFD97A99CEBA,Student,facial action coding,Facial action coding,11%,0%,0%,0%,33%,0%,33%,0%,33%,33%,0%,0%
